2020년,업무,실내습도(%),실내온도(℃),pH,EC,수온(℃),광시간(명/암),수온(℃),pH,EC,기타(수경인삼),
10월 25일,,,,,,,12/12,,,,,
10월 26일,,65~76,19.1~20.5,6,0.9,18.7,12/12,,,,,
10월 27일,,64~71,19.1~20.7,6,0.9,18.7,12/12,,,,EC 1.0,
10월 28일,,,,,,,12/12,,,,,
10월 29일,,64~71,19.1~20.7,5.9,1,18.8,12/12,,,,,
10월 30일,양액교환,65~71,19.1~20.7,5.7,1,18.8,12/12,,6,,,
10월 31일,,65~71,19.2~20.6,5.9,1,18.5,12/12,,,,,
11월 01일,,,,,,,12/12,,,,,
11월 02일,휴가,,,,,,12/12,,,,,
11월 03일,,64~71,19.1~20.6,6,1,18.9,12/12,,,,,
11월 04일,,,,,,,12/12,,,,,
11월 05일,,64~72,19.1~20.6,6,1,18.6,12/12,,,,,
11월 06일,용수교환,65~72,19.1~20.6,6,1,18.8,12/12,,,,"처리(MeJA, Geraniol 500ppm, 청색광, 청색광+처리), 양액정지(양수만)",
11월 07일,,65~71,18.9~20.5,7.8,0.2,18.9,12/12,,,,"처리(MeJA, Geraniol 500ppm, 청색광, 청색광+처리)",
11월 08일,,,,,,,12/12,,,,,
11월 09일,,65~71,18.9~20.3,7.9,0.2,18.4,12/12,,,,,
11월 10일,,66~72,18.9~20.3,8.1,0.2,18.4,12/12,,,,,
11월 11일,,,,,,,12/12,,,,,
11월 12일,,66~72,18.9~20.3,8,0.3,18.9,12/12,,,,,
11월 13일,,66~71,18.9~20.3,8.1,0.3,18.6,12/12,,,,,
11월 14일,양액교환,66~71,18.9~20.3,8.1,0.3,18.5,12/12,,,,"수확(샘플)->건조(잎줄기/뿌리), 수분스트레스(60초/180분)",
11월 15일,,,,,,,12/12,,,,,
11월 16일,,66~71,19.0~20.3,8.1,0.2,27.1,12/12,18.8,,,칠러가동,
11월 17일,,64~72,18.9~20.3,8.1,0.2,18.5,12/12,,,,,
11월 18일,,,,,,,12/12,,,,,
11월 19일,,66~72,19.0~20.3,8.2,0.2,18.7,12/12,,,,,
11월 20일,용수교환,66~72,19.0~20.3,8.2,0.2,18.7,12/12,,,,,
11월 21일,,66~71,18.9~20.3,8.1,0.1,18.5,12/12,,,,수확(수분스트레스),
11월 22일,,,,,,,12/12,,,,,
